,flux,z,f,enz,met_concentration,reaction,gpr
BTS5,1.4247749330961595e-06,1.0,-9999.0,7.647909418861163e-06,;2fe1s_c : 4.999999992621096e-07;amet_c : 0.02000000000856292;dtbt_c : 4.999999992621096e-07;dad_5_c : 4.999999992621096e-07;btn_c : 4.999999992621096e-07;h_c : 1.0;met__L_c : 0.02000000000856292;2fe2s_c : 4.999999992621096e-07,2fe2s_c + amet_c + dtbt_c --> 2fe1s_c + btn_c + dad_5_c + h_c + met__L_c,b0775
OPMEACPD,1.4247749330961595e-06,1.0,-9999.0,0.00030640321141852896,;epmeACP_c : 4.999999992621096e-07;h2o_c : 1.0;hpmeACP_c : 4.999999992621096e-07,hpmeACP_c --> epmeACP_c + h2o_c,b0180
EX_meoh_e,1.4247749330961595e-06,1.0,-9999.0,-9999.0,;meoh_e : 1.0,meoh_e --> ,
MEOHtex_reverse,1.4247749330961595e-06,1.0,-9999.0,-9999.0,;meoh_e : 1.0;meoh_p : 1.0,meoh_p --> meoh_e,b2215 or b0929 or b1377 or b0241
AMAOTr,1.4247749330961595e-06,1.0,11.389107329895001,1.8733974111424395e-05,;8aonn_c : 2.4999999952401825e-05;dann_c : 0.02000000000856292;amob_c : 4.999999992621096e-07;amet_c : 0.02000000000856292,8aonn_c + amet_c --> amob_c + dann_c,b0774
OPMEACPS,1.4247749330961595e-06,1.0,-9999.0,0.0007025517421578695,;malACP_c : 4.999999992621096e-07;h_c : 1.0;co2_c : 3.5532535700738193e-07;opmeACP_c : 4.999999992621096e-07;gmeACP_c : 4.999999992621096e-07;ACP_c : 4.999999992621096e-07,gmeACP_c + h_c + malACP_c --> ACP_c + co2_c + opmeACP_c,b2323
DM_amob_c,1.4247749330961595e-06,1.0,-9999.0,-9999.0,;amob_c : 4.999999992621096e-07,amob_c --> ,
OGMEACPD,1.4247749330961595e-06,1.0,-9999.0,0.00030640321141852896,;h2o_c : 1.0;egmeACP_c : 4.999999992621096e-07;hgmeACP_c : 4.999999992621096e-07,hgmeACP_c --> egmeACP_c + h2o_c,b0180
EGMEACPR,1.4247749330961595e-06,1.0,-9999.0,0.000367588992026873,;gmeACP_c : 4.999999992621096e-07;h_c : 1.0;egmeACP_c : 4.999999992621096e-07;nadph_c : 0.02000000000856292;nadp_c : 0.0020000000008562916,egmeACP_c + h_c + nadph_c --> gmeACP_c + nadp_c,b1288
DHORD2,9.3713814486307e-10,1.0,62.65870277231986,4.786498154387034e-13,;q8h2_c : 4.999999992621096e-07;orot_c : 0.0004666552476604337;dhor__S_c : 4.999999992621096e-07;q8_c : 1.296565237818592e-05,dhor__S_c + q8_c --> orot_c + q8h2_c,b0945
