,max_Df under fixed Ci ratio,min_Df under fixed Ci ratio,diff under fixed Ci ratio
ECOAH5_reverse,28.028720981565005,-26.628720981565003,54.65744196313001
ECOAH6,26.628720981565003,-28.028720981565005,54.65744196313001
ECOAH6_reverse,28.028720981565005,-26.628720981565003,54.65744196313001
ECOAH7,26.628720981565003,-28.028720981565005,54.65744196313001
ECOAH7_reverse,28.028720981565005,-26.628720981565003,54.65744196313001
ECOAH8,26.66872098156501,-27.988720981565006,54.65744196313001
ECOAH8_reverse,27.988720981565006,-26.66872098156501,54.65744196313001
EDA,49.24654929302501,-32.739613651670005,81.98616294469502
EDD,70.42872098156501,15.771279018434996,54.65744196313001
ENO,31.428720981565007,-23.228720981565004,54.65744196313001
ENO_reverse,23.228720981565004,-31.428720981565007,54.65744196313001
ENTCS,270.89015420085,-48.75301683050513,319.64317103135517
ETHAAL,101.146549293025,19.160386348329993,81.98616294469501
ENTERES,272.164377604485,162.849493678225,109.31488392626002
F1PP,75.24654929302501,-6.739613651670005,81.98616294469502
F6PA,46.14654929302501,-35.83961365167001,81.98616294469502
F6PA_reverse,35.83961365167001,-46.14654929302501,81.98616294469502
FACOAE120,89.74654929302501,7.760386348329995,81.98616294469502
F6PP,76.54654929302501,-5.439613651670005,81.98616294469501
FACOAE100,89.74654929302501,7.760386348329995,81.98616294469502
FACOAE140,89.74654929302501,7.760386348329995,81.98616294469502
FACOAE141,89.74654929302501,7.760386348329995,81.98616294469502
FACOAE160,89.94654929302502,7.960386348329994,81.98616294469502
FACOAE181,89.74654929302501,7.760386348329995,81.98616294469502
FACOAE161,89.94654929302502,7.960386348329994,81.98616294469502
FACOAE180,92.646549293025,10.660386348329993,81.98616294469501
FACOAE60,89.74654929302501,7.760386348329995,81.98616294469502
FACOAE80,89.74654929302501,7.760386348329995,81.98616294469502
FADRx,32.69035402673336,-21.967087936396656,54.65744196313001
FADRx2,45.567087936396646,-9.090354026733362,54.65744196313001
FALDH2,53.267087936396656,-1.3903540267333554,54.65744196313001
FALDH2_reverse,1.3903540267333554,-53.267087936396656,54.65744196313001
FBA,44.74654929302501,-37.239613651670005,81.98616294469502
FALGTHLs,28.93961365167,-53.04654929302501,81.98616294469501
FALGTHLs_reverse,53.04654929302501,-28.93961365167,81.98616294469501
FBA_reverse,37.239613651670005,-44.74654929302501,81.98616294469502
FBA3,52.24654929302501,-29.739613651670005,81.98616294469502
FBA3_reverse,29.739613651670005,-52.24654929302501,81.98616294469502
FBP,76.146549293025,-5.839613651670007,81.98616294469501
FCI,21.848720981565005,-32.808720981565,54.65744196313001
FCI_reverse,32.808720981565,-21.848720981565005,54.65744196313001
FCLK,54.06708793639665,-0.5903540267333618,54.65744196313001
FCLPA_reverse,37.03961365167001,-44.946549293025015,81.98616294469502
FE3Ri,271.986162944695,108.013837055305,163.97232588939002
FCLPA,44.946549293025015,-37.03961365167001,81.98616294469502
FHL,74.47728966291501,2.004746837822996,72.47254282509202
FLDR2,44.995808917961654,-64.31907500829837,109.31488392626002
FLVRx,4.090354026733355,-50.56708793639665,54.65744196313001
FLVR,16.96708793639665,-37.69035402673337,54.65744196313001
FMNAT,68.05744196313,-35.31907500829836,103.37651697142837
FMNRx,40.19035402673336,-14.467087936396656,54.65744196313001
FMNRx2,53.067087936396646,-1.5903540267333582,54.657441963130005
FORCT,53.05744196313001,-56.25744196313002,109.31488392626002
FORCT_reverse,56.25744196313002,-53.05744196313001,109.31488392626002
FRD3,69.15744196313001,-40.15744196313001,109.31488392626002
FRD2,69.15744196313001,-40.15744196313001,109.31488392626002
FRULYSDG,60.93654929302501,-21.049613651670008,81.98616294469502
FRULYSDG_reverse,21.049613651670008,-60.93654929302501,81.98616294469502
